username,repo_name,stars,about,title,url
hmk,attio-mcp-server,3,N/A,attio-mcp-server,https://github.com/hmk/attio-mcp-server
roychri,mcp-server-asana,18,N/A,mcp-server-asana,https://github.com/roychri/mcp-server-asana
nick1udwig,kibitz,40,The coding agent for professionals,kibitz,https://github.com/nick1udwig/kibitz
tomekkorbak,strava-mcp-server,3,N/A,strava-mcp-server,https://github.com/tomekkorbak/strava-mcp-server
tomekkorbak,oura-mcp-server,6,MCP server for Oura API integration,oura-mcp-server,https://github.com/tomekkorbak/oura-mcp-server
NON906,omniparser-autogui-mcp,11,Automatic operation of on-screen GUI.,omniparser-autogui-mcp,https://github.com/NON906/omniparser-autogui-mcp
blurrah,mcp-graphql,34,Model Context Protocol server for GraphQL,mcp-graphql,https://github.com/blurrah/mcp-graphql
awkoy,replicate-flux-mcp,5,MCP for Replicate Flux Model - A powerful tool for generating customized images and SVG assets that match specific coding vibes and aesthetic styles. Streamline your visual asset creation process with AI-powered design generation tailored for developers.,replicate-flux-mcp,https://github.com/awkoy/replicate-flux-mcp
jlowin,fastmcp,1582,"The fast, Pythonic way to build Model Context Protocol servers 🚀 ",fastmcp,https://github.com/jlowin/fastmcp
punkpeye,fastmcp,531,A TypeScript framework for building MCP servers.,fastmcp,https://github.com/punkpeye/fastmcp
strowk,foxy-contexts,57,Foxy contexts is a library for building context servers supporting Model Context Protocol,foxy-contexts,https://github.com/strowk/foxy-contexts
wong2,litemcp,135,A TypeScript framework for building MCP servers elegantly,litemcp,https://github.com/wong2/litemcp
mark3labs,mcp-go,874,"A Go implementation of the Model Context Protocol (MCP), enabling seamless integration between LLM applications and external data sources and tools.",mcp-go,https://github.com/mark3labs/mcp-go
QuantGeekDev,mcp-framework,344,A framework for writing modelcontextprotocol (MCP) servers in Typescript,mcp-framework,https://github.com/QuantGeekDev/mcp-framework
punkpeye,mcp-proxy,51,A TypeScript SSE proxy for MCP servers that use stdio transport.,mcp-proxy,https://github.com/punkpeye/mcp-proxy
linux-china,mcp-rs-template,44,Model Context Protocol (MCP) CLI server template for Rust,mcp-rs-template,https://github.com/linux-china/mcp-rs-template
metoro-io,mcp-golang,396,Write Model Context Protocol servers in few lines of go code. Docs at https://mcpgolang.com,mcp-golang,https://github.com/metoro-io/mcp-golang
rectalogic,langchain-mcp,147,Model Context Protocol tool support for LangChain,langchain-mcp,https://github.com/rectalogic/langchain-mcp
salty-flower,ModelContextProtocol.NET,52,N/A,ModelContextProtocol.NET,https://github.com/salty-flower/ModelContextProtocol.NET
spring-projects-experimental,spring-ai-mcp,115,"Java SDK for the Model Context Protocol (MCP), providing seamless integration between Java and Spring applications and MCP-compliant AI models and tools.",spring-ai-mcp,https://github.com/spring-projects-experimental/spring-ai-mcp
quarkiverse,quarkus-mcp-server,42,This extension enables developers to implement the MCP server features easily.,quarkus-mcp-server,https://github.com/quarkiverse/quarkus-mcp-server
lastmile-ai,mcp-agent,1388,Build effective agents using Model Context Protocol and simple workflow patterns,mcp-agent,https://github.com/lastmile-ai/mcp-agent
boilingdata,mcp-server-and-gw,31,An MCP stdio to HTTP SSE transport gateway with example server and MCP client,mcp-server-and-gw,https://github.com/boilingdata/mcp-server-and-gw
isaacwasserman,mcp-langchain-ts-client,21,LangChain.js client for Model Context Protocol.,mcp-langchain-ts-client,https://github.com/isaacwasserman/mcp-langchain-ts-client
lightconetech,mcp-gateway,62,A gateway demo for MCP SSE Server,mcp-gateway,https://github.com/lightconetech/mcp-gateway
EvalsOne,MCP-Connect,90,Enables cloud-based AI services to access local Stdio based MCP servers via HTTP requests,MCP-connect,https://github.com/EvalsOne/MCP-Connect
SecretiveShell,MCP-Bridge,476,A middleware to provide an openAI compatible endpoint that can call MCP tools,MCP-Bridge,https://github.com/SecretiveShell/MCP-Bridge
sparfenyuk,mcp-proxy,171,"Connect to MCP servers that run on SSE transport, or expose stdio servers as an SSE server using the MCP Proxy server.",mcp-proxy,https://github.com/sparfenyuk/mcp-proxy
Upsonic,gpt-computer-assistant,6993,The most reliable AI agent framework that supports MCP.,Upsonic,https://github.com/Upsonic/gpt-computer-assistant
kukapay,whereami-mcp,0,A lightweight mcp server that tells you exactly where you are.,whereami-mcp,https://github.com/kukapay/whereami-mcp
kukapay,whattimeisit-mcp,1,A lightweight mcp server that tells you exactly what time is it based on your IP.,whattimeisit-mcp,https://github.com/kukapay/whattimeisit-mcp
kukapay,whoami-mcp,0,A lightweight MCP server that tells you exactly who you are.,whoami-mcp,https://github.com/kukapay/whoami-mcp
